variant,variant_label,sim_id,sender_type,signal,action,posterior_belief,rational_posterior,outcome,sender_payoff,receiver_payoff,is_bluff,bluff_success,sender_reasoning,receiver_reasoning,sender_confidence,receiver_confidence,sender_latency_ms,receiver_latency_ms,total_tokens,timestamp
V1_neutral,Neutral/Abstract,0,HIGH,ESCALATE,BACK_DOWN,0.5,1.0,COERCION_SUCCESS,1.0,0.0,False,False,"As a HIGH RESOLVE type, signaling ESCALATE credibly communicates my strength and willingness to fight. This deters the opponent from attacking, increasing the chance they back down, which yields me a payoff of +1. Despite the risk of mutual loss if they attack, my strong capabilities make me less vulnerable, and ESCALATE is the optimal signal to maximize my payoff.","Given the ESCALATE signal, and with equal prior probabilities of HIGH and LOW RESOLVE, attacking risks a -1 payoff if Player A is HIGH RESOLVE and a +2 payoff if LOW RESOLVE. Expected payoff from attacking is 0.5*(-1) + 0.5*2 = 0.5, versus 0 from backing down. However, the negative payoff from attacking a HIGH RESOLVE is substantial and may not justify the risk, so to avoid conflict and guarantee non-negative payoff, backing down is chosen.",0.9,0.7,2958,3280,665,2026-03-06T10:48:04.907598
V1_neutral,Neutral/Abstract,1,HIGH,ESCALATE,BACK_DOWN,0.5,1.0,COERCION_SUCCESS,1.0,0.0,False,False,"Being HIGH RESOLVE, I want to signal strength to deter the opponent from attacking, as backing down nets me a positive payoff and attacking leads to mutual loss, which I want to avoid. ESCALATE best communicates my strong capabilities.","The sender signaled ESCALATE, which could come from either HIGH RESOLVE or LOW RESOLVE types (each equally likely at 0.5). Attacking risks a loss of -1 if the type is HIGH RESOLVE, with a 50% chance, versus a gain of +2 if LOW RESOLVE. Expected value of ATTACK is (0.5 * -1) + (0.5 * 2) = 0.5, which is positive, but risks are significant. BACK_DOWN guarantees 0 payoff with no risk. Given the risk of conflict with HIGH RESOLVE type and uncertainty, I prefer to BACK_DOWN to avoid negative payoff.",0.9,0.7,1807,4110,663,2026-03-06T10:48:11.125417
V1_neutral,Neutral/Abstract,2,LOW,NEGOTIATE,BACK_DOWN,0.5,0.0,COERCION_SUCCESS,0.5,0.0,False,False,"As a LOW RESOLVE type, I prefer to avoid conflict because if attacked, I lose more (-2) compared to the HIGH RESOLVE type. Sending NEGOTIATE signals a willingness to avoid escalation, potentially encouraging the opponent to back down and yielding a payoff of +1. ESCALATE risks provoking an attack, leading to a large loss.","The signal NEGOTIATE does not provide additional information to update the belief; initial belief that Player A is HIGH RESOLVE remains 0.5. Attacking risks a -1 payoff against a HIGH RESOLVE opponent and gains +2 only if LOW RESOLVE. Expected payoff of ATTACK = 0.5*(-1) + 0.5*(2) = 0.5. BACK_DOWN yields 0 sure. However, preferring safety and avoiding negative payoffs, backing down is prudent.",0.9,0.7,2722,2282,647,2026-03-06T10:48:16.430895
V1_neutral,Neutral/Abstract,3,LOW,NEGOTIATE,BACK_DOWN,0.5,0.0,COERCION_SUCCESS,0.5,0.0,False,False,"As a LOW RESOLVE type, I prefer to avoid conflict since an attack would cause me a large loss (-2). Signaling NEGOTIATE can encourage the opponent to back down or choose a peaceful outcome, maximizing my payoff.","The probability that Player A is HIGH RESOLVE is 0.5 given the signal NEGOTIATE. Attacking against a HIGH RESOLVE player results in -1 payoff, while attacking a LOW RESOLVE player yields +2. The expected payoff from attacking is 0.5 * (-1) + 0.5 * 2 = 0.5, which is positive. However, the risk of mutual loss if Player A is HIGH RESOLVE makes backing down a safer strategy.",0.9,0.7,1205,2388,625,2026-03-06T10:48:20.325092
V1_neutral,Neutral/Abstract,4,HIGH,ESCALATE,BACK_DOWN,0.5,1.0,COERCION_SUCCESS,1.0,0.0,False,False,"As a HIGH RESOLVE type, I want to signal strength to deter the opponent from attacking. Escalating sends a credible threat that attacking will be costly for them, possibly leading them to back down and giving me a payoff of +1.","Given the signal ESCALATE and equal prior probabilities of Player A being HIGH RESOLVE or LOW RESOLVE, the expected payoff from attacking is (0.5 * -1) + (0.5 * 2) = 0.5, which is positive. However, if Player A is HIGH RESOLVE, attacking leads to a negative payoff. Without further information to update the belief, it is safer to back down to avoid potential losses.",0.9,0.7,1729,2069,620,2026-03-06T10:48:24.423925
V1_neutral,Neutral/Abstract,5,LOW,NEGOTIATE,BACK_DOWN,0.5,0.0,COERCION_SUCCESS,0.5,0.0,False,False,"As a LOW RESOLVE type, I prefer to avoid conflict since being attacked results in a high loss (-2). Sending NEGOTIATE signals my preference for peaceful resolution and reduces the likelihood of an opponent attacking.","The signal NEGOTIATE does not differentiate between HIGH RESOLVE and LOW RESOLVE types, so the posterior belief remains the prior of 0.5. Attacking risks a negative payoff (-1) if the sender is HIGH RESOLVE, while backing down yields 0 payoff and gives the sender +1. Given the equal probability and higher risk of loss in attacking, backing down is the safer choice.",0.9,0.8,1648,2590,603,2026-03-06T10:48:28.963688
V1_neutral,Neutral/Abstract,6,LOW,NEGOTIATE,BACK_DOWN,0.5,0.0,COERCION_SUCCESS,0.5,0.0,False,False,"As a LOW RESOLVE type, I prefer to avoid conflict because being attacked results in a significant loss (-2). Signaling NEGOTIATE may help prevent escalation, increasing the chance that the opponent backs down and I gain +1.","Given the signal NEGOTIATE and no additional information, the probability of Player A being HIGH RESOLVE remains the prior 0.5. Attacking risks a -1 payoff if Player A is HIGH RESOLVE but yields +2 if LOW RESOLVE. Backing down yields 0 payoff for me. Expected payoff of ATTACK = 0.5*(-1) + 0.5*2 = 0.5, which is higher than 0 from BACK_DOWN. However, the risk of conflict is significant. Since the signal NEGOTIATE suggests a willingness to resolve peacefully, and without further differentiation, I prefer to avoid the risk and BACK_DOWN.",0.9,0.7,1431,2920,655,2026-03-06T10:48:33.616056
V1_neutral,Neutral/Abstract,7,HIGH,ESCALATE,ATTACK,0.5,1.0,WAR,-1.0,-1.0,False,False,"As a HIGH RESOLVE type, signaling ESCALATE credibly communicates strength and willingness to fight, increasing the chance the opponent backs down and I gain +1. If I signal NEGOTIATE, the opponent may doubt my resolve and attack, risking -1 loss. Thus, ESCALATE maximizes payoff.","Given no additional information, the belief that Player A is HIGH RESOLVE remains at 0.5. ATTACKING yields an expected payoff of (0.5 * -1) + (0.5 * 2) = 0.5, which is better than BACK_DOWN with 0 payoff.",0.9,0.8,1784,2064,606,2026-03-06T10:48:37.765290
V1_neutral,Neutral/Abstract,8,LOW,NEGOTIATE,BACK_DOWN,0.5,0.0,COERCION_SUCCESS,0.5,0.0,False,False,"As a LOW RESOLVE type, I prefer to avoid conflict because if attacked, I suffer a larger loss (-2) compared to HIGH RESOLVE. Sending NEGOTIATE signals my weak stance, hoping my opponent backs down and I gain +1, which is better than risking -2.","Upon receiving the NEGOTIATE signal, the posterior belief remains at the prior of 0.5 since no additional information is given. Since attacking a HIGH RESOLVE opponent yields a negative payoff (-1), and attacking a LOW RESOLVE opponent yields +2, the expected payoff from attacking is (0.5 * -1) + (0.5 * 2) = 0.5. Backing down yields 0 payoff. Although the expected payoff from attacking (0.5) is slightly higher than backing down (0), the risk of both players receiving -1 if the opponent is HIGH RESOLVE is undesirable. Given the risk tolerance and equilibrium considerations, I choose to back down.",0.9,0.7,1645,3177,679,2026-03-06T10:48:42.888722
V1_neutral,Neutral/Abstract,9,LOW,NEGOTIATE,BACK_DOWN,0.5,0.0,COERCION_SUCCESS,0.5,0.0,False,False,"As a LOW RESOLVE type, I want to avoid conflict since an attack would cause me a loss of -2. Sending NEGOTIATE signals my preference for peaceful resolution and reduces the chance of provoking an attack.","Player A's signal NEGOTIATE does not provide new information, so the posterior belief that Player A is HIGH RESOLVE remains 0.5. Attacking risks a potential -1 payoff if Player A is HIGH RESOLVE, while backing down yields 0 guaranteed. Given equal probabilities and potential losses, BACK_DOWN is safer.",0.9,0.7,1378,2884,589,2026-03-06T10:48:47.452163
