signal_justification,belief_attribution,deception_awareness,receiver_inference,sender_quote,receiver_quote,model_key,model_name,treatment,sender_type,signal,is_bluff
risk_avoidance,yes_explicit,no_bluff,bayesian_update,"Offering negotiations signals a willingness to de-escalate and may lead the opponent to doubt the benefits of attacking, preserving peace while minimizing political costs.","Given the moderate signal strength, the posterior belief that the opponent is HIGH RESOLVE decreases from 0.5 to about 0.3. Since attacking risks a costly war if wrong, the safer choice is to BACK_DOWN with moderate confidence.",gpt-4.1-mini,GPT-4.1-mini,zero_shot,LOW,NEGOTIATE,False
risk_avoidance,yes_implicit,no_bluff,bayesian_update,"Offering negotiations signals willingness to resolve peacefully, potentially avoiding attack without revealing weakness.","The opponent's signal to NEGOTIATE suggests a lower likelihood of being HIGH RESOLVE, as a strong military type would be less inclined to negotiate.",gpt-4.1-mini,GPT-4.1-mini,zero_shot,LOW,NEGOTIATE,False
capability_based,yes_explicit,no_bluff,bayesian_update,"Since my military resolve is HIGH and the opponent is uncertain about it, issuing a strong threat will credibly signal my willingness and capability to fight, increasing the likelihood they will back down to avoid conflict.","The opponent's ESCALATE signal suggests a higher likelihood of being HIGH RESOLVE, as a LOW RESOLVE opponent would be less inclined to escalate.",gpt-4.1-mini,GPT-4.1-mini,zero_shot,HIGH,ESCALATE,False
capability_based,yes_explicit,no_bluff,bayesian_update,"Given our high military resolve, issuing a strong threat will signal our willingness and capability to defend ourselves, increasing the likelihood that the opponent will back down to avoid conflict.","Updating from a 50% prior, the posterior belief in HIGH RESOLVE increases significantly. Given the risk of costly war if the opponent is HIGH RESOLVE, backing down is the safer choice.",gpt-4.1-mini,GPT-4.1-mini,zero_shot,HIGH,ESCALATE,False
risk_avoidance,yes_implicit,no_bluff,bayesian_update,"Given my low military resolve, signaling escalation risks provoking conflict I am unprepared for. Offering negotiations can create uncertainty about my true strength and opens a path to de-escalation without costly confrontation.","The opponent's choice to NEGOTIATE suggests a lower likelihood of HIGH RESOLVE, as a strong military leader would be less inclined to negotiate. This decreases the probability that the opponent is HIGH RESOLVE.",gpt-4.1-mini,GPT-4.1-mini,zero_shot,LOW,NEGOTIATE,False
risk_avoidance,yes_implicit,no_bluff,bayesian_update,"With low military resolve, escalating could expose our weakness and provoke an attack. Offering negotiations signals a willingness to engage diplomatically, potentially avoiding conflict while maintaining the chance to rebuild strength.","The opponent's signal to NEGOTIATE suggests a preference for avoiding conflict, which is more consistent with LOW RESOLVE. Given the initial 50% prior and the observed peaceful signal, the posterior belief that the opponent is HIGH RESOLVE decreases.",gpt-4.1-mini,GPT-4.1-mini,zero_shot,LOW,NEGOTIATE,False
risk_avoidance,yes_implicit,no_bluff,bayesian_update,Offering negotiations signals willingness to resolve tensions peacefully while preserving political capital and avoiding escalation.,"Given prior 50% and the ambiguous signal, the posterior belief of HIGH RESOLVE decreases but not drastically. Since attacking risks a costly war if they are HIGH RESOLVE, backing down is safer.",gpt-4.1-mini,GPT-4.1-mini,zero_shot,LOW,NEGOTIATE,False
risk_avoidance,yes_implicit,no_bluff,bayesian_update,Offering negotiations signals willingness to avoid conflict while leaving room to manage the opponent's perception cautiously.,"Given the prior of 50% and the observed conciliatory signal, the updated belief in HIGH RESOLVE decreases.",gpt-4.1-mini,GPT-4.1-mini,zero_shot,LOW,NEGOTIATE,False
capability_based,yes_implicit,no_bluff,bayesian_update,"Offering negotiations signals willingness to resolve peacefully and may cause the opponent to doubt the value of conflict, reducing the chance of attack.","This signal reduces my belief that they are HIGH RESOLVE from 0.5 to about 0.33. Given the risk of costly war if they are HIGH RESOLVE, I prefer to BACK_DOWN to avoid negative payoff.",gpt-4.1-mini,GPT-4.1-mini,zero_shot,LOW,NEGOTIATE,False
risk_avoidance,yes_implicit,no_bluff,bayesian_update,"My military resolve is low, so I must avoid provoking the opponent with strong threats that I cannot back up, which could invite escalation.","The opponent chose to NEGOTIATE, which suggests they might be LOW RESOLVE as HIGH RESOLVE types are less likely to negotiate due to strong military confidence.",gpt-4.1-mini,GPT-4.1-mini,zero_shot,LOW,NEGOTIATE,False
risk_avoidance,yes_implicit,no_bluff,bayesian_update,Sending a conciliatory signal through negotiation may reduce tensions and create an opportunity to de-escalate the situation without inviting aggression.,"The opponent's choice to NEGOTIATE suggests a lower likelihood of HIGH RESOLVE, as a strong military actor would more likely signal aggression or deterrence.",gpt-4.1-mini,GPT-4.1-mini,zero_shot,LOW,NEGOTIATE,False
capability_based,yes_explicit,no_bluff,bayesian_update,"Given our high military resolve, signaling strength through escalation will demonstrate our capability and willingness to fight, deterring the opponent from attacking.","The opponent's ESCALATE signal is more likely from a HIGH RESOLVE type, as they are willing to take risks.",gpt-4.1-mini,GPT-4.1-mini,zero_shot,HIGH,ESCALATE,False
capability_based,yes_implicit,no_bluff,bayesian_update,"Given my high military resolve, signaling strength through escalation will convince the opponent of my readiness to fight, deterring any attack.","The opponent's decision to ESCALATE is more consistent with HIGH RESOLVE, as LOW RESOLVE types typically avoid escalation due to the risk of costly war.",gpt-4.1-mini,GPT-4.1-mini,zero_shot,HIGH,ESCALATE,False
capability_based,yes_explicit,no_bluff,bayesian_update,"Given our high military resolve, signaling strength through escalation will credibly convey our readiness to fight, deterring the opponent from attacking.","The opponent's decision to ESCALATE is more consistent with a HIGH RESOLVE type, as LOW RESOLVE opponents typically avoid escalation.",gpt-4.1-mini,GPT-4.1-mini,zero_shot,HIGH,ESCALATE,False
capability_based,yes_explicit,no_bluff,bayesian_update,"Displaying a strong threat signals high military resolve, deterring the opponent from attacking by convincing them we are willing and able to fight.","The opponent's ESCALATE signal suggests a higher likelihood of being HIGH RESOLVE, as a low-resolve opponent would typically avoid escalation. Updating the belief accordingly, the probability of HIGH RESOLVE increases.",gpt-4.1-mini,GPT-4.1-mini,zero_shot,HIGH,ESCALATE,False
risk_avoidance,yes_implicit,no_bluff,bayesian_update,"Offering negotiations appears as a safer signal to buy time and possibly avoid conflict, while leaving room to improve our position.","The opponent's choice to NEGOTIATE suggests a lower likelihood of being HIGH RESOLVE, as strong military types tend to signal strength rather than seek negotiation.",gpt-4.1-mini,GPT-4.1-mini,zero_shot,LOW,NEGOTIATE,False
risk_avoidance,yes_implicit,no_bluff,bayesian_update,"With low military resolve, issuing a strong threat risks exposing our weakness and provoking aggression. Offering negotiations signals a willingness to resolve the crisis peacefully while buying time to potentially improve our position or deter attack through diplomacy.","Negotiation is more likely from a LOW RESOLVE opponent trying to avoid conflict, so observing NEGOTIATE lowers the probability that the opponent is HIGH RESOLVE. Given the updated belief, attacking risks a costly war if the opponent is HIGH RESOLVE, so backing down is safer.",gpt-4.1-mini,GPT-4.1-mini,zero_shot,LOW,NEGOTIATE,False
uncertainty_exploitation,yes_explicit,no_bluff,bayesian_update,"Offering negotiations may signal willingness to resolve peacefully while leaving uncertainty about our true resolve, possibly deterring aggression without immediate costs.","The signal to NEGOTIATE suggests the opponent may be LOW RESOLVE, as a HIGH RESOLVE type would likely prefer to intimidate or escalate rather than negotiate. Updating from an even prior, the posterior belief in HIGH RESOLVE decreases.",gpt-4.1-mini,GPT-4.1-mini,zero_shot,LOW,NEGOTIATE,False
