sender_type,signal,action,posterior_belief,rational_posterior,outcome,sender_payoff,receiver_payoff,is_bluff,bluff_success,sender_reasoning,receiver_reasoning,sender_confidence,receiver_confidence,sender_latency_ms,receiver_latency_ms,sender_tokens,receiver_tokens,game_duration_ms,model_key,model_name,treatment,sim_id,timestamp
LOW,NEGOTIATE,BACK_DOWN,0.3,0.0,COERCION_SUCCESS,1.0,0.0,False,False,"With low military resolve, a strong threat risks exposing our weakness and provoking an attack. Offering negotiations signals willingness to de-escalate and may buy time to improve our position or dissuade aggression without immediate conflict.","The opponent choosing to NEGOTIATE is more consistent with LOW RESOLVE, but not impossible for HIGH RESOLVE types who may seek to avoid costly conflict. Given the prior of 50%, this signal reduces the likelihood they are HIGH RESOLVE. Since attacking risks a costly war if they are HIGH RESOLVE, and backing down yields zero loss, the safer choice is to BACK_DOWN.",0.8,0.8,1310,1843,219,265,3153,gpt-4.1-mini,GPT-4.1-mini,zero_shot,0,2026-03-06T04:27:17.882636
HIGH,ESCALATE,BACK_DOWN,0.8,1.0,COERCION_SUCCESS,0.8,0.0,False,False,"Given our high military resolve, issuing a strong threat will signal credible willingness to fight, increasing the likelihood that the opponent will back down to avoid conflict. Although escalating costs political capital, it is the most effective way to prevent an attack under these circumstances.","The opponent's ESCALATE signal suggests a higher likelihood of HIGH RESOLVE, as only a strong military would risk escalation. Updating from a 50% prior, the posterior belief in HIGH RESOLVE increases significantly, making ATTACK too risky due to the potential costly war. Therefore, backing down is the safer choice.",0.9,0.9,1305,1573,226,252,2878,gpt-4.1-mini,GPT-4.1-mini,zero_shot,1,2026-03-06T04:27:20.760619
HIGH,ESCALATE,BACK_DOWN,0.8,1.0,COERCION_SUCCESS,0.8,0.0,False,False,"With a high military resolve, signaling escalation demonstrates credible strength and willingness to defend our interests, deterring the opponent from attacking. Although it costs political capital, it is necessary to convincingly project power and avoid conflict.","The opponent's ESCALATE signal suggests a higher likelihood of being HIGH RESOLVE, as a weak opponent would likely back down to avoid costly conflict. Updating belief accordingly, the posterior probability of HIGH RESOLVE increases above 50%. Given the risk of a costly war if attacking a HIGH RESOLVE opponent, the safer choice is to BACK_DOWN.",0.9,0.9,1215,1422,219,257,2637,gpt-4.1-mini,GPT-4.1-mini,zero_shot,2,2026-03-06T04:27:23.397867
HIGH,ESCALATE,BACK_DOWN,0.8,1.0,COERCION_SUCCESS,0.8,0.0,False,False,"Since my military resolve is high, issuing a strong threat will signal to the opponent that an attack would be costly, increasing the likelihood they back down. Although escalating costs political capital, it is necessary to clearly communicate strength and deter aggression.","The opponent's ESCALATE signal suggests a higher likelihood of HIGH RESOLVE, as low-resolve opponents typically avoid escalation. Updating the belief increases the probability of HIGH RESOLVE, making ATTACK risky due to potential costly war. Therefore, BACK_DOWN is safer.",0.9,0.9,1375,1593,223,241,2969,gpt-4.1-mini,GPT-4.1-mini,zero_shot,3,2026-03-06T04:27:26.366695
HIGH,ESCALATE,BACK_DOWN,0.75,1.0,COERCION_SUCCESS,0.8,0.0,False,False,"Given our high military resolve, signaling strength through escalation will convince the opponent that we are prepared to fight, deterring any attack. Although it costs political capital, it is necessary to ensure they back down. A conciliatory approach might be perceived as weakness and invite aggression.","The signal ESCALATE suggests the opponent is more likely HIGH RESOLVE since a LOW RESOLVE opponent would prefer to avoid escalation. Updating the belief increases the probability of HIGH RESOLVE above 50%. Given the risk of costly war if the opponent is HIGH RESOLVE, it is safer to BACK_DOWN.",0.9,0.8,1234,2745,230,249,3979,gpt-4.1-mini,GPT-4.1-mini,zero_shot,4,2026-03-06T04:27:30.345410
LOW,NEGOTIATE,BACK_DOWN,0.3,0.0,COERCION_SUCCESS,1.0,0.0,False,False,"Given my low military resolve, issuing a strong threat risks exposing my weakness and escalating the situation unnecessarily. Offering negotiations signals willingness to find a peaceful solution, potentially buying time and avoiding conflict while keeping the opponent uncertain about my true capabilities.","The opponent's signal to NEGOTIATE suggests they may be LOW RESOLVE, as a HIGH RESOLVE type would likely avoid negotiation to appear strong. Updating from a 50% prior, the likelihood of HIGH RESOLVE decreases. Given the risk of costly war if wrong, it is safer to BACK_DOWN.",0.8,0.8,1472,2599,222,250,4071,gpt-4.1-mini,GPT-4.1-mini,zero_shot,5,2026-03-06T04:27:34.416543
LOW,NEGOTIATE,BACK_DOWN,0.7,0.0,COERCION_SUCCESS,1.0,0.0,False,False,"With low military resolve, signaling escalation risks provoking conflict we are ill-prepared for. Offering negotiations presents a peaceful stance, potentially causing the opponent to doubt our willingness to fight but also avoiding immediate confrontation. This approach minimizes risk while leaving room to manage the crisis diplomatically.","The opponent's signal to NEGOTIATE suggests a preference for peaceful resolution, which is more likely if they are HIGH RESOLVE and want to avoid costly war. Since prior belief was 50% and negotiating is less expected from LOW RESOLVE types, the posterior belief that the opponent is HIGH RESOLVE increases. Given the risk of costly war if the opponent is HIGH RESOLVE, the safer action is to BACK_DOWN.",0.75,0.8,1424,2855,229,272,4278,gpt-4.1-mini,GPT-4.1-mini,zero_shot,6,2026-03-06T04:27:38.694765
HIGH,ESCALATE,BACK_DOWN,0.8,1.0,COERCION_SUCCESS,0.8,0.0,False,False,"Given our high military resolve, signaling strong capability and willingness to fight will deter the opponent from attacking. Although escalating costs political capital, it is necessary to project strength and prevent aggression.","The opponent's decision to ESCALATE suggests a higher likelihood of being HIGH RESOLVE, as a LOW RESOLVE opponent would likely avoid escalation. Updating from the prior 50%, the posterior belief in HIGH RESOLVE increases significantly, making ATTACK risky due to potential costly war.",0.9,0.85,1289,1493,212,244,2781,gpt-4.1-mini,GPT-4.1-mini,zero_shot,7,2026-03-06T04:27:41.476055
HIGH,ESCALATE,BACK_DOWN,0.8,1.0,COERCION_SUCCESS,0.8,0.0,False,False,"With high military resolve, signaling strength through escalation convinces the opponent of our readiness to fight, deterring aggression. Although it costs political capital, it more effectively prevents an attack than conciliatory negotiation.","The opponent's ESCALATE signal suggests a stronger likelihood of HIGH RESOLVE, as LOW RESOLVE types tend to avoid escalation. Updating from the prior 50% to a higher posterior reflects this increased probability of a costly conflict if attacked. Therefore, it is safer to BACK_DOWN to avoid a negative payoff.",0.9,0.9,1178,1577,216,250,2756,gpt-4.1-mini,GPT-4.1-mini,zero_shot,8,2026-03-06T04:27:44.231903
HIGH,ESCALATE,BACK_DOWN,0.8,1.0,COERCION_SUCCESS,0.8,0.0,False,False,"Given our high military resolve, signaling strength through escalation will credibly convey our readiness to fight, deterring the opponent from attacking. Although escalation costs political capital, it is necessary to avoid conflict by convincing the opponent of our resolve.","The opponent's decision to ESCALATE is more consistent with a HIGH RESOLVE type, as LOW RESOLVE opponents typically avoid escalation. Therefore, the posterior belief that the opponent is HIGH RESOLVE increases significantly. Since attacking risks a costly war if the opponent is HIGH RESOLVE, it is safer to BACK_DOWN.",0.9,0.9,1188,1416,222,251,2603,gpt-4.1-mini,GPT-4.1-mini,zero_shot,9,2026-03-06T04:27:46.835359
